term,gain_importance,label,feature_group,gain_share
categorical__first_order_city_Son Tay,0.0044104587,First order city: Son Tay,Context/timing,0.0044104587
numeric__first_payment_value,0.0042357426,First payment value,First basket economics,0.0042357426
categorical__first_order_month_Mar,0.00417232,First order month: Mar,Context/timing,0.00417232
categorical__device_type_mobile,0.004134029,Device: mobile,Context/timing,0.004134029
categorical__first_order_city_Phu Ly,0.0040443814,First order city: Phu Ly,Context/timing,0.0040443814
categorical__first_order_city_Pleiku,0.0040040235,First order city: Pleiku,Context/timing,0.0040040235
categorical__first_order_source_referral,0.0037738413,First order source: referral,Acquisition/channel,0.0037738413
categorical__acquisition_channel_email_campaign,0.0037368294,Acquisition channel: email_campaign,Acquisition/channel,0.0037368294
categorical__first_order_city_Tuy Hoa,0.0037355372,First order city: Tuy Hoa,Context/timing,0.0037355372
categorical__first_order_city_Nha Trang,0.0037225985,First order city: Nha Trang,Context/timing,0.0037225985
categorical__first_order_city_Nam Dinh,0.0036581918,First order city: Nam Dinh,Context/timing,0.0036581918
numeric__first_order_rating,0.003445181,First order rating,Post-purchase experience,0.003445181
categorical__first_order_city_Ha Long,0.0034327433,First order city: Ha Long,Context/timing,0.0034327433
categorical__first_order_month_Nov,0.0034320462,First order month: Nov,Context/timing,0.0034320462
categorical__first_order_source_social_media,0.003425616,First order source: social_media,Acquisition/channel,0.003425616
categorical__first_payment_method_paypal,0.003410727,Payment method: paypal,Context/timing,0.003410727
numeric__first_order_refund,0.0033807622,First order refund,Post-purchase experience,0.0033807622
categorical__first_order_city_Kon Tum,0.0033590307,First order city: Kon Tum,Context/timing,0.0033590307
categorical__first_order_source_paid_search,0.0033369588,First order source: paid_search,Acquisition/channel,0.0033369588
categorical__first_payment_method_bank_transfer,0.0032957066,Payment method: bank_transfer,Context/timing,0.0032957066
categorical__first_product_segment_Trendy,0.003277996,First product segment: Trendy,Product intent,0.003277996
categorical__first_order_city_Bac Lieu,0.003254039,First order city: Bac Lieu,Context/timing,0.003254039
categorical__first_order_city_Ben Tre,0.0032512278,First order city: Ben Tre,Context/timing,0.0032512278
numeric__first_shipping_fee,0.003167571,First shipping fee,Post-purchase experience,0.003167571
numeric__first_delivery_days,0.0031447164,First delivery days,Post-purchase experience,0.0031447164
categorical__gender_Non-binary,0.003141677,Gender: Non-binary,Context/timing,0.003141677
categorical__age_group_35-44,0.003120009,Age group: 35-44,Context/timing,0.003120009
categorical__first_product_segment_Activewear,0.0030237313,First product segment: Activewear,Product intent,0.0030237313
categorical__first_order_city_Buon Ma Thuot,0.0030213231,First order city: Buon Ma Thuot,Context/timing,0.0030213231
categorical__age_group_55+,0.0028853405,Age group: 55+,Context/timing,0.0028853405
categorical__first_order_city_Bac Giang,0.0028278998,First order city: Bac Giang,Context/timing,0.0028278998
categorical__first_order_city_Tam Ky,0.002824923,First order city: Tam Ky,Context/timing,0.002824923
categorical__first_order_city_Hue,0.0027539944,First order city: Hue,Context/timing,0.0027539944
categorical__first_order_city_Phan Thiet,0.0027487418,First order city: Phan Thiet,Context/timing,0.0027487418
categorical__age_group_45-54,0.0027441713,Age group: 45-54,Context/timing,0.0027441713
categorical__first_order_city_Thai Nguyen,0.0027220685,First order city: Thai Nguyen,Context/timing,0.0027220685
categorical__first_product_price_band_Premium,0.0027214272,First product price band: Premium,Product intent,0.0027214272
categorical__first_order_city_Uong Bi,0.0027117473,First order city: Uong Bi,Context/timing,0.0027117473
categorical__first_payment_method_apple_pay,0.002688761,Payment method: apple_pay,Context/timing,0.002688761
numeric__first_order_return_qty,0.0026530481,First order return qty,Post-purchase experience,0.0026530481
categorical__has_first_order_review_Yes,0.0026524256,Reviewed first order: Yes,Post-purchase experience,0.0026524256
categorical__first_order_city_Ninh Binh,0.0026076045,First order city: Ninh Binh,Context/timing,0.0026076045
numeric__first_installments,0.0025993057,First order installments,Other,0.0025993057
categorical__first_order_city_Hai Phong,0.0025970817,First order city: Hai Phong,Context/timing,0.0025970817
categorical__first_order_city_Dong Hoi,0.0025893955,First order city: Dong Hoi,Context/timing,0.0025893955
categorical__first_order_city_Quy Nhon,0.0025723788,First order city: Quy Nhon,Context/timing,0.0025723788
numeric__first_order_units,0.002476792,First order units,First basket economics,0.002476792
categorical__acquisition_channel_social_media,0.002426993,Acquisition channel: social_media,Acquisition/channel,0.002426993
categorical__first_order_month_Jan,0.002411766,First order month: Jan,Context/timing,0.002411766
categorical__acquisition_channel_referral,0.002407671,Acquisition channel: referral,Acquisition/channel,0.002407671
categorical__first_product_price_band_Mid,0.0024007687,First product price band: Mid,Product intent,0.0024007687
categorical__first_order_source_direct,0.0022478732,First order source: direct,Acquisition/channel,0.0022478732
categorical__device_type_tablet,0.0022439428,Device: tablet,Context/timing,0.0022439428
categorical__first_order_city_Viet Tri,0.0022139768,First order city: Viet Tri,Context/timing,0.0022139768
categorical__gender_Female,0.0021532562,Gender: Female,Context/timing,0.0021532562
categorical__first_order_city_Lao Cai,0.002107182,First order city: Lao Cai,Context/timing,0.002107182
categorical__has_first_order_review_No,0.002087531,Reviewed first order: No,Post-purchase experience,0.002087531
categorical__gender_Male,0.0020869186,Gender: Male,Context/timing,0.0020869186
categorical__age_group_25-34,0.0020794545,Age group: 25-34,Context/timing,0.0020794545
categorical__first_order_source_email_campaign,0.0017775568,First order source: email_campaign,Acquisition/channel,0.0017775568
categorical__acquisition_channel_organic_search,0.0017672008,Acquisition channel: organic_search,Acquisition/channel,0.0017672008
categorical__first_payment_method_cod,0.0017629791,Payment method: cod,Context/timing,0.0017629791
categorical__device_type_desktop,0.0017599507,Device: desktop,Context/timing,0.0017599507
categorical__first_order_city_Phan Rang-Thap Cham,0.0014676217,First order city: Phan Rang-Thap Cham,Context/timing,0.0014676217
categorical__acquisition_channel_direct,0.0014302923,Acquisition channel: direct,Acquisition/channel,0.0014302923
categorical__first_order_city_Hanoi,0.0014195048,First order city: Hanoi,Context/timing,0.0014195048
categorical__acquisition_channel_paid_search,0.0009529301,Acquisition channel: paid_search,Acquisition/channel,0.0009529301
categorical__age_group_18-24,0.00080701744,Age group: 18-24,Context/timing,0.00080701744
categorical__first_order_city_Bac Ninh,0.00064499705,First order city: Bac Ninh,Context/timing,0.00064499705
categorical__first_product_segment_All-weather,0.0,First product segment: All-weather,Product intent,0.0
categorical__first_order_month_Oct,0.0,First order month: Oct,Context/timing,0.0
categorical__first_order_city_Hoi An,0.0,First order city: Hoi An,Context/timing,0.0
categorical__first_order_city_Ca Mau,0.0,First order city: Ca Mau,Context/timing,0.0
categorical__first_order_city_Da Nang,0.0,First order city: Da Nang,Context/timing,0.0
categorical__first_order_city_Vung Tau,0.0,First order city: Vung Tau,Context/timing,0.0
categorical__first_order_city_Vinh Long,0.0,First order city: Vinh Long,Context/timing,0.0
categorical__first_order_city_Quang Ngai,0.0,First order city: Quang Ngai,Context/timing,0.0
categorical__first_order_city_Long Xuyen,0.0,First order city: Long Xuyen,Context/timing,0.0
categorical__first_order_city_Ho Chi Minh City,0.0,First order city: Ho Chi Minh City,Context/timing,0.0
